state,elec,gas,ratio,dc_price
Alabama,0.1609,2.78,0.0579,0.47
Alaska,0.2608,3.76,0.0694,0.59
Arizona,0.1576,3.18,0.0496,0.55
Arkansas,0.1315,2.79,0.0471,0.65
California,0.3503,4.5,0.0778,0.6
Colorado,0.157,3.04,0.0516,0.51
Connecticut,0.3164,3.12,0.1014,0.55
Delaware,0.1812,3.13,0.0579,0.56
D.C.,0.2015,3.31,0.0609,0.61
Florida,0.1498,3.04,0.0493,0.45
Georgia,0.15,2.9,0.0517,0.48
Hawaii,0.4103,4.46,0.092,0.6
Idaho,0.1188,3.54,0.0336,0.52
Illinois,0.1862,3.38,0.0551,0.5
Indiana,0.1702,3.14,0.0542,0.53
Iowa,0.1423,2.89,0.0492,0.44
Kansas,0.1468,2.86,0.0513,0.5
Kentucky,0.1408,2.91,0.0484,0.52
Louisiana,0.1315,2.76,0.0476,0.5
Maine,0.2791,3.1,0.09,0.58
Maryland,0.1904,3.16,0.0603,0.54
Massachusetts,0.2994,3.07,0.0975,0.5
Michigan,0.2025,3.22,0.0629,0.5
Minnesota,0.1587,2.95,0.0538,0.5
Mississippi,0.1471,2.69,0.0547,0.46
Missouri,0.1297,2.84,0.0457,0.47
Montana,0.129,3.24,0.0398,0.51
Nebraska,0.1318,2.93,0.045,0.5
Nevada,0.1332,3.76,0.0354,0.56
New Hampshire,0.2402,3.02,0.0795,0.53
New Jersey,0.2049,3.06,0.067,0.51
New Mexico,0.1459,2.88,0.0507,0.5
New York,0.2667,3.17,0.0841,0.52
North Carolina,0.1426,2.87,0.0497,0.49
North Dakota,0.1307,2.89,0.0452,0.51
Ohio,0.1711,2.94,0.0582,0.54
Oklahoma,0.1294,2.71,0.0477,0.52
Oregon,0.1588,3.99,0.0398,0.53
Pennsylvania,0.1931,3.24,0.0596,0.51
Rhode Island,0.29,3.04,0.0954,0.54
South Carolina,0.1532,2.79,0.0549,0.48
South Dakota,0.1434,2.97,0.0483,0.53
Tennessee,0.1388,2.78,0.0499,0.49
Texas,0.1549,2.71,0.0572,0.49
Utah,0.1263,3.35,0.0377,0.5
Vermont,0.2399,3.1,0.0774,0.58
Virginia,0.1541,3.03,0.0509,0.5
Washington,0.1367,4.41,0.031,0.48
West Virginia,0.1618,3.01,0.0538,0.51
Wisconsin,0.1901,2.87,0.0662,0.49
Wyoming,0.1389,3.11,0.0447,0.59
